"日期","最新","開市","高","低","成交量","更改%"
"2016年12月30日","53.72","53.87","54.09","53.41","271.09K","-0.09"
"2016年12月29日","53.77","53.66","54.21","53.46","360.19K","-0.54"
"2016年12月28日","54.06","53.93","54.37","53.56","322.54K","0.30"
"2016年12月27日","53.90","53.29","54.10","53.03","277.31K","1.33"
"2016年12月26日","53.19","53.33","53.34","53.14","0","0.32"
"2016年12月23日","53.02","52.68","53.28","52.26","285.17K","0.13"
"2016年12月22日","52.95","52.52","53.19","52.08","393.49K","0.88"
"2016年12月21日","52.49","53.56","53.79","52.32","471.99K","0.50"
"2016年12月20日","52.23","52.11","52.70","51.85","26.17K","0.21"
"2016年12月19日","52.12","52.15","52.52","51.51","129.99K","0.42"
"2016年12月16日","51.90","51.10","52.08","50.50","252.57K","1.96"
"2016年12月15日","50.90","50.79","51.48","49.95","551.76K","-0.27"
"2016年12月14日","51.04","52.45","52.78","50.67","677.96K","-3.66"
"2016年12月13日","52.98","52.51","53.41","52.35","638.40K","0.28"
"2016年12月12日","52.83","52.58","54.51","52.18","847.03K","2.58"
"2016年12月9日","51.50","50.92","51.66","50.86","652.04K","1.30"
"2016年12月8日","50.84","49.88","50.98","49.61","780.06K","2.15"
"2016年12月7日","49.77","50.93","51.20","49.72","816.88K","-2.28"
"2016年12月6日","50.93","50.97","51.60","50.28","642.75K","-1.66"
"2016年12月5日","51.79","51.46","52.42","50.93","600.78K","0.21"
"2016年12月2日","51.68","51.01","51.73","50.18","667.10K","1.21"
"2016年12月1日","51.06","49.07","51.80","48.98","974.81K","3.28"
"2016年11月30日","49.44","45.24","49.90","45.22","1.31M","9.31"
"2016年11月29日","45.23","46.88","46.98","44.82","732.82K","-3.93"
"2016年11月28日","47.08","45.43","47.65","45.14","734.38K","2.21"
"2016年11月25日","46.06","47.97","48.26","45.88","465.98K","-4.00"
"2016年11月24日","47.98","48.03","48.26","47.80","0","0.04"
"2016年11月23日","47.96","47.94","48.43","47.40","556.86K","-0.15"
"2016年11月22日","48.03","48.37","49.20","47.17","826.21K","1.14"
"2016年11月21日","47.49","45.83","47.80","45.77","34.92K","3.94"
"2016年11月18日","45.69","44.93","45.77","44.55","155.65K","0.59"
"2016年11月17日","45.42","45.37","46.58","44.88","284.87K","-0.33"
"2016年11月16日","45.57","45.77","46.41","45.03","658.17K","-0.52"
"2016年11月15日","45.81","43.76","46.09","43.55","706.18K","5.75"
"2016年11月14日","43.32","43.20","43.81","42.20","704.77K","-0.21"
"2016年11月11日","43.41","44.35","44.63","43.03","631.14K","-2.80"
"2016年11月10日","44.66","45.31","45.64","44.25","686.34K","-1.35"
"2016年11月9日","45.27","44.82","45.95","43.07","946.51K","0.64"
"2016年11月8日","44.98","44.97","45.39","44.41","669.64K","0.20"
"2016年11月7日","44.89","44.45","45.01","44.11","605.73K","1.86"
"2016年11月4日","44.07","44.63","44.87","43.57","736.69K","-1.32"
"2016年11月3日","44.66","45.48","45.90","44.37","540.44K","-1.50"
"2016年11月2日","45.34","46.32","46.47","44.96","674.32K","-2.85"
"2016年11月1日","46.67","46.77","47.35","46.20","834.99K","-0.41"
"2016年10月31日","46.86","48.25","48.74","46.63","649.24K","-3.78"
"2016年10月28日","48.70","49.61","49.81","48.42","550.08K","-2.05"
"2016年10月27日","49.72","49.22","50.06","49.00","543.17K","1.10"
"2016年10月26日","49.18","49.31","50.10","48.87","679.32K","-1.56"
"2016年10月25日","49.96","50.49","50.93","49.27","553.78K","-1.11"
"2016年10月24日","50.52","50.85","50.98","49.62","623.40K","-0.65"
"2016年10月21日","50.85","50.66","51.02","50.21","551.30K","0.83"
"2016年10月20日","50.43","51.40","51.58","50.25","24.86K","-2.27"
"2016年10月19日","51.60","50.77","51.93","50.69","132.43K","2.60"
